id,group
KO-F-10N,KO-F
KO-F-10R,KO-F
KO-F-11P,KO-F
KO-F-13N,KO-F
KO-F-14J,KO-F
KO-F-14N,KO-F
KO-F-15K,KO-F
KO-F-17N,KO-F
KO-F-18P,KO-F
KO-F-20213G,KO-F
KO-F-20214E,KO-F
KO-F-20219E,KO-F
KO-F-2J,KO-F
KO-F-2L,KO-F
KO-F-2N,KO-F
KO-F-31J,KO-F
KO-F-4H,KO-F
KO-F-4J,KO-F
KO-F-6C,KO-F
KO-F-6N,KO-F
KO-F-7A,KO-F
KO-F-7J,KO-F
KO-F-7R,KO-F
KO-F-8N,KO-F
KO-F-9N,KO-F
KO-F-9P,KO-F
KO-M-10M,KO-M
KO-M-11A,KO-M
KO-M-13F,KO-M
KO-M-13K,KO-M
KO-M-16J,KO-M
KO-M-18N,KO-M
KO-M-20219F,KO-M
KO-M-21P,KO-M
KO-M-2H,KO-M
KO-M-2V,KO-M
KO-M-3A,KO-M
KO-M-4A,KO-M
KO-M-5H,KO-M
KO-M-5M,KO-M
KO-M-6H,KO-M
KO-M-6Q,KO-M
KO-M-7H,KO-M
KO-M-8J,KO-M
KO-M-8P,KO-M
KO-M-8R,KO-M
ND-F-10G,ND-F
ND-F-12R,ND-F
ND-F-16O,ND-F
ND-F-17R,ND-F
ND-F-1Q,ND-F
ND-F-20213E,ND-F
ND-F-20A,ND-F
ND-F-22J,ND-F
ND-F-23A,ND-F
ND-F-28J,ND-F
ND-F-29A,ND-F
ND-F-2O,ND-F
ND-F-30A,ND-F
ND-F-3Q,ND-F
ND-F-4P,ND-F
ND-F-4Q,ND-F
ND-F-5A,ND-F
ND-F-5Q,ND-F
ND-F-6G,ND-F
ND-F-6M,ND-F
ND-F-6O,ND-F
ND-F-7G,ND-F
ND-F-8G,ND-F
ND-M-10K,ND-M
ND-M-12N,ND-M
ND-M-14K,ND-M
ND-M-16F,ND-M
ND-M-17O,ND-M
ND-M-19J,ND-M
ND-M-19P,ND-M
ND-M-1A,ND-M
ND-M-1J,ND-M
ND-M-1P,ND-M
ND-M-20211F,ND-M
ND-M-23J,ND-M
ND-M-26J,ND-M
ND-M-2A,ND-M
ND-M-4G,ND-M
ND-M-5V,ND-M
ND-M-6T,ND-M
ND-M-8O,ND-M
ND-M-9O,ND-M
